Profile,Latest Post,Timestamp,Post Link
"=HYPERLINK(""https://www.linkedin.com/in/harshpunjabi"", ""Harshpunjabi"")","I am attending the 𝐀𝐠𝐞𝐧𝐭𝐢𝐜 𝐀𝐈 𝐂𝐨𝐧𝐟𝐞𝐫𝐞𝐧𝐜𝐞 by Data Science Dojo on 𝐒𝐞𝐩𝐭𝐞𝐦𝐛𝐞𝐫 𝟏𝟓–𝟏𝟗, 𝟐𝟎𝟐𝟓. You can check the conference agenda here: https://hubs.la/Q03FZGwN0 Thi…","2w • 
 
2 weeks ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/harshpunjabi_agenticaiconference-datasciencedojo-activity-7369211481004949504-XrSK?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/ramjalan"", ""Ramjalan"")","𝗜 𝗿𝗲𝗮𝗹𝗶𝘇𝗲𝗱 𝘄𝗲’𝗿𝗲 𝗯𝘂𝗶𝗹𝗱𝗶𝗻𝗴 𝗔𝗜 𝗹𝗶𝗸𝗲 𝘄𝗲 𝗯𝘂𝗶𝗹𝗱 𝗿𝗲𝗹𝗮𝘁𝗶𝗼𝗻𝘀𝗵𝗶𝗽𝘀—𝗼𝗻 𝗲𝗮𝗿𝗻𝗲𝗱, 𝗻𝗼𝘁 𝗯𝗹𝗶𝗻𝗱, 𝘁𝗿𝘂𝘀𝘁. Last week, at an industry forum, a CIO of a large infrastructure company…","5h • 
 
5 hours ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/ramjalan_ai-dubai-ai-activity-7374296112637173760-zP3Y?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/saurabh-yadav-data"", ""Saurabh Yadav Data"")","When we talk about AI or LLMs, it often sounds like one giant category. But not all models are built the same and more importantly, not all are meant to solve…","4h • 
 
4 hours ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/saurabh-yadav-data_ai-llm-innovation-activity-7374305697259503616-WjY4?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/sudbharathi"", ""Sudbharathi"")","Looking forward to speaking on Managing Risks in Agentic AI Applications — across algorithms, data, and infrastructure. Balancing innovation with governance to…","15h • 
 
15 hours ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/sudbharathi_agenticai-genai-dataengineering-activity-7374136199088660480-U0QP?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/prakash-shetty-ba2818a6"", ""Prakash Shetty Ba2818a6"")","𝗠𝗼𝘀𝘁 𝘀𝗮𝗹𝗲𝘀𝗽𝗲𝗼𝗽𝗹𝗲 𝗳𝗮𝗶𝗹 𝗮𝘁 𝗹𝘂𝘅𝘂𝗿𝘆 𝘀𝗲𝗹𝗹𝗶𝗻𝗴… 𝗕𝗲𝗰𝗮𝘂𝘀𝗲 𝘁𝗵𝗲𝘆 𝗹𝗲𝗮𝗱 𝘄𝗶𝘁𝗵 𝗽𝗿𝗶𝗰𝗲. HNIs aren’t buying discounts. They’re buying 𝗶𝗱𝗲𝗻𝘁𝗶𝘁𝘆, 𝗽𝗿𝗲𝘀𝘁𝗶𝗴𝗲, 𝗮𝗻𝗱 𝗲𝘅𝗽𝗲𝗿𝗶𝗲𝗻𝗰𝗲. That’s…","1w • 
 
1 week ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/govind-ramachandran_luxury-sales-framework-closing-hnis-with-ugcPost-7369375276260093953-OnN5?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/ralfonseca"", ""Ralfonseca"")","We're hiring an Real estate Investments Analyst! Join our team to evaluate land opportunities, develop financial models, and support strategic acquisition deci…","1w • 
 
1 week ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/ralfonseca_investmentanalyst-realestateindia-investmentsrealestate-activity-7371515595076308992-tcGA?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/muhammed-khedr-34834b86"", ""Muhammed Khedr 34834b86"")",Selling high-end luxury real estate requires a very different playbook compared to mid-market properties. Here are the key factors that consistently make the d…,"1w • 
 
1 week ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/muhammed-khedr-34834b86_luxury-sales-framework-closing-hnis-with-activity-7369385517609619474-_oHN?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/amit-mishra-2798a915"", ""Amit Mishra 2798a915"")",☀️Great start to the morning!☀️ Had the pleasure of joining the amazing team from Richkey Properties over a lovely breakfast yesterday. Always inspiring to con…,"1w • 
 
1 week ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/polinasemenova3009_realestate-danubeproperties-channelpartners-activity-7371488122603388928-jEKV?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/sameer-sachdeva-4373a74"", ""Sameer Sachdeva 4373a74"")","DarGlobal is expanding in Jeddah. We’ve secured a prime 28,800 sqm site to develop a USD 1 billion mixed-use landmark of residences, hospitality, retail, and o…","1d • 
 
1 day ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/darglobalofficial_darglobal-saudiarabia-jeddah-ugcPost-7373789867043983360-eGd6?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/ziad-el-chaar-bb985229"", ""Ziad El Chaar Bb985229"")","From my conversation with Emirates News, where we talked about what’s powering Dubai’s real estate growth.","5d • 
 
5 days ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/ziad-el-chaar-bb985229_from-my-conversation-with-emirates-news-activity-7372237905097990144-mACP?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/augustin-swamidas-5747b717"", ""Augustin Swamidas 5747b717"")","DarGlobal is expanding in Jeddah. We’ve secured a prime 28,800 sqm site to develop a USD 1 billion mixed-use landmark of residences, hospitality, retail, and o…","1d • 
 
1 day ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/darglobalofficial_darglobal-saudiarabia-jeddah-ugcPost-7373789867043983360-eGd6?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/rim-bdiri-1589661"", ""Rim Bdiri 1589661"")","Branded residences are more than homes — they’re a lifestyle of trust, prestige, and value. 🌍✨ At Darglobal, our core business is delivering exceptional custom…","1w • 
 
1 week ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/rim-bdiri-1589661_brandedresidences-luxuryliving-customerexperience-activity-7371537309759950848-anfF?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/muhammad-idrees-acca-725492130"", ""Muhammad Idrees Acca 725492130"")","Vida Dubai Mall, Downtown 2 Bedroom 2.5 Bathroom Branded Luxury Furnished Burj Khalifa and Fountain View Contact: Muhammad Idrees +971 58 205 7610 hashtag #myd…","1w • 
 
1 week ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/muhammad-idrees-acca-725492130_mydubai-fyp-foryoupage-activity-7371162567412432897-U76_?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/dxbrealtorachint"", ""Dxbrealtorachint"")","The Shared Well of Old Dubai – A Business Lesson Long before the glittering skyline, Dubai’s communities relied on one common well. Families drew what they nee…","2h • 
 
2 hours ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/dxbrealtorachint_the-shared-well-of-old-dubai-a-business-activity-7374345401816080384-BJ50?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/omarbinder"", ""Omarbinder"")","We are proud to announce that Devmark has been recognised at the International Property Awards, receiving three accolades that reaffirm our commitment to excel…","5d • 
 
5 days ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/devmarkuae_internationalpropertyawards-propertyawards-ugcPost-7372252221188497408-Nz6v?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/richard-aybar-65028153"", ""Richard Aybar 65028153"")",Really proud of my good friend Simon Earl on launching his new company Qonterra 🚀 It’s a powerful platform that lets developers run super fast feasibility stud…,"1w • Edited • 
 
1 week ago • Edited • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/activity-7369780176328548352-sbz0?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/dalia-gamali-356509"", ""Dalia Gamali 356509"")",It’s always a pleasure to attend the annual Construction Week Middle East “Leaders in Construction Middle East Event”. This year I didn’t even have to travel f…,"4h • 
 
4 hours ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/activity-7374326310707281920-k9wn?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/jamie-gray-102b5444"", ""Jamie Gray 102b5444"")","We are proud to announce that Devmark has been recognised at the International Property Awards, receiving three accolades that reaffirm our commitment to excel…","5d • 
 
5 days ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/devmarkuae_internationalpropertyawards-propertyawards-ugcPost-7372252221188497408-Nz6v?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/seanmccauley"", ""Seanmccauley"")","We are proud to announce that Devmark has been recognised at the International Property Awards, receiving three accolades that reaffirm our commitment to excel…","5d • 
 
5 days ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/devmarkuae_internationalpropertyawards-propertyawards-ugcPost-7372252221188497408-Nz6v?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/manisha-dayaram-24360b1b"", ""Manisha Dayaram 24360b1b"")",Excited to see The Chedi Private Residences project shine. Congratulations to the parties involved in making this happen! Devmark Manisha Dayaram @alseeb Mahes…,"5d • Edited • 
 
5 days ago • Edited • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/rosemarietacorda_thechediprivateresidences-chedihospitality-activity-7372313140950294528-vLyR?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/hbajis"", ""Hbajis"")","What does Etihad Rail mean for Dubai’s property market? Everyone’s asking what this really means for buyers, investors, and tenants. The truth is simple – Etih…","2d • Edited • 
 
2 days ago • Edited • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/hbajis_dubai-realestate-advisory-activity-7373584879462113280-DKzy?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/milos-antic-dhg"", ""Milos Antic Dhg"")",The completion of the 25-floor structure of Helvetia Residences marks much more than a construction milestone — it represents DHG Properties’ deep commitment t…,"1d • 
 
1 day ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/milos-antic-dhg_the-completion-of-the-25-floor-structure-activity-7373957404620742656-dDHO?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/tanweer-khan-4a9b9220"", ""Tanweer Khan 4a9b9220"")","🏙 Full Floor Office in Burj Khalifa Experience prestige at the world’s most iconic address! 📐 6,285 sqft | Entire Floor ✨ 360° Panoramic City Views 🛋 Reception…","1w • 
 
1 week ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/discoveryhomesae_burjkhalifa-dubai-linkedin-ugcPost-7369337493109796868-K3k_?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/tarek-khallouf-5302564a"", ""Tarek Khallouf 5302564a"")",🚀 Hiring a Senior Property Consultant 🚀 Love closing deals? We love paying you for them. ✅ Basic Salary + High Commission . ✅ Premium leads & full support prov…,"2w • 
 
2 weeks ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/distinctionrealestate_hiring-a-senior-property-consultant-activity-7368724271927308289-wkQ1?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/saoud-zainal-a12b2468"", ""Saoud Zainal A12b2468"")",We are honored to be named among the Top 100 Real Estate Developers in the GCC by Construction Week Middle East. This recognition is a testament to our vision…,"3d • Edited • 
 
3 days ago • Edited • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/altarealestatedubai_alta-alifeexceptional-luxuryrealestate-activity-7373248791992410113-bVV7?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/dinesh-dholwani-92148624"", ""Dinesh Dholwani 92148624"")",Check out this job at DKV International Real Estate LLC: https://lnkd.in/duj6_ekb,"1w • 
 
1 week ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/dinesh-dholwani-92148624_check-out-this-job-at-dkv-international-real-activity-7369663731330453504-jGuZ?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/manishlakhwani"", ""Manishlakhwani"")","⏳ 3 Days to Go! Dubai’s premier property roadshow is about to land in London 🇬🇧✨ Get ready to explore exclusive projects, investment opportunities, and connect…","2w • 
 
2 weeks ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/dnlproperties_dnlroadshow-dubairealestate-londonevent-activity-7368966740241760259-Y3e4?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/bahar-haghi-37434989"", ""Bahar Haghi 37434989"")","Dubai is making huge waves in the Global Real Estate Market and we’re bringing those opportunities straight to Miami, USA. From September 17-19, join Beyond De…","22h • 
 
22 hours ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/drehomes-real-estate-brokers_drehomes-investindubai-dubairealestate-ugcPost-7374054908712382464-o4S-?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/haian-f-48b6a565"", ""Haian F 48b6a565"")","Behind every success lies a story of sacrifice, perseverance, and the courage to keep moving forward. Today, we share the journey of a leader who started with…","5d • 
 
5 days ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/drehomes-real-estate-brokers_drehomes-femalefounder-womeninbusiness-ugcPost-7372247834407899136-zZsA?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/deepak-dahiya-9310257"", ""Deepak Dahiya 9310257"")","Wake up to oceanfront living. Presenting Aqua Arc by BNW at Al Marjan Island - where coastal tranquility meets modern luxury. Studios, 1, 2 & 3-bedroom fully f…","2d • 
 
2 days ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/drehomes-real-estate-brokers_aquaarc-bnwdevelopments-almarjanisland-ugcPost-7373603799384358912-nUXb?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/john-skilbeck"", ""John Skilbeck"")","⚠️ Property traps in Hua Hin can cost buyers both peace of mind and long-term returns. At The Vista Hua Hin, we’ve structured our development to remove those r…","1d • 
 
1 day ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/john-skilbeck_thevistahuahin-propertyinvestment-luxuryvillas-activity-7373950102547116032-qtFT?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/%e8%b5%b5%e4%b8%bd%e5%b2%a9-aileen-zhao-01897a85"", ""赵丽岩 Aileen Zhao 01897a85"")","A trilingual (Arabic, English, Japanese) Real Estate Professional with over 8 years of expertise in the Dubai market. I provide end-to-end real estate brokerag…","1w • 
 
1 week ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/hussien-nazeef-8aa0a163_dubairealestate-japaneseindubai-realestateinvestor-ugcPost-7370821577174671361-QGyh?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/desmond-fu-5687841b"", ""Desmond Fu 5687841b"")","In 2025, around 165,000 millionaires are expected to relocate globally. The UAE will be the top destination, attracting nearly 10,000, while the UK is projecte…","2w • 
 
2 weeks ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/lloydcardoza88_in-2025-around-165000-millionaires-are-activity-7369260907312373764-jhvN?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/claire-de-beaulieu-82457299"", ""Claire De Beaulieu 82457299"")","Vous souhaitez proposer de l'immobilier à Dubai à vos clients ? Ensemble, rendons l'investissement immo à Dubai accessible à tous et de façon sécurisée. Pour c…","3d • 
 
3 days ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/claire-de-beaulieu-82457299_dubai-immo-partners-lalliance-entre-l-activity-7373260596038848512-6AKU?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/sofien-semichi-085148161"", ""Sofien Semichi 085148161"")","Boom ou bulle ? La vérité sur l’immobilier à Dubaï Depuis 2020, les prix ont grimpé de +70 %. Certains analystes annoncent une correction possible de –10 à –15…","2d • 
 
2 days ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/sofien-semichi-085148161_dubai2025-investissementimmobilier-leximmodubai-activity-7373660683311337472-mTe1?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
